5V:1
BF1:1
BME_280:1
BP1:1
C1:1
C2:1
CAN_H:1
CAN_L:1
COOL1:1
CS:1
D1:1
D2:1
DC:1
GND:1
GPS:1
HOLE_1:1
HOLE_2:1
HOLE_3:1
HOLE_4:1
J1:1
J2:1
K15:1
K3:1
K30:1
MC1:1
MEM1:1
MODE1:1
MOSI:1
OL_LED1:1
OP1:1
OS1:1
Q1:1
Q2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RD1:1
RESET1:1
RST:1
SD1:1
SLK:1
TR1:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
USB_OUT1:1
WW1:1
